2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
IL-CHICAGO,49.9,34.6,45.8,33.5,0.36,72.6,66.9,33.1,75.9,20.3,27.1,72.9
ILLINOIS,49.8,33.2,54.1,34.5,0.331,73.3,63.8,36.2,72.9,18.3,31.9,71.0
ILLINOIS ST,49.4,33.6,50.3,31.3,0.338,68.7,53.9,46.1,72.6,18.5,24.2,71.0
INCAR WORD,45.4,34.6,50.6,37.6,0.411,74.9,67.4,32.6,73.3,22.5,24.5,66.5
INDIANA,52.5,32.2,48.4,36.7,0.364,65.7,65.9,34.1,69.8,17.8,30.1,73.4
INDIANA ST,46.5,35.9,50.1,35.7,0.341,71.6,58.3,41.7,73.5,19.6,25.1,77.7
IONA,51.3,38.8,51.4,35.5,0.304,73.9,59.2,40.8,74.2,15.7,22.3,70.5
IOWA,53.3,37.5,51.2,37.6,0.354,69.5,66.0,34.0,72.7,18.4,32.6,73.1
IOWA STATE,47.9,35.8,51.0,33.9,0.298,70.0,65.1,34.9,71.9,16.6,27.5,71.9
IPFW,51.3,36.6,53.4,36.4,0.316,71.5,54.6,45.4,75.5,15.4,23.3,75.6
IUPUI,45.2,35.5,55.6,35.3,0.329,66.3,64.8,35.2,70.1,20.1,29.4,72.4
JACKSON ST,39.2,32.8,51.5,34.9,0.248,66.1,62.3,37.7,68.0,16.8,28.9,71.7
JACKSONVILLE,48.8,33.0,53.3,33.0,0.3,65.8,70.7,29.3,74.2,18.8,24.6,72.5
JAMES MAD,46.7,33.5,50.9,37.2,0.341,73.4,64.1,35.9,72.4,16.2,27.5,74.3
JKSNVILLE ST,51.6,32.0,46.8,33.0,0.298,70.1,70.0,30.0,68.8,18.7,33.1,75.7
KANSAS,56.5,40.3,48.1,32.7,0.262,70.1,58.4,41.6,71.7,16.3,27.8,70.8
KANSAS ST,54.6,34.4,49.3,33.2,0.336,74.2,63.2,36.8,68.2,16.8,24.3,69.8
KENNESAW ST,47.5,36.9,56.8,32.8,0.35,69.2,75.8,24.2,72.8,18.8,26.7,67.2
KENT STATE,48.8,32.4,51.4,33.9,0.325,73.2,61.7,38.3,72.1,18.3,30.2,72.0
KENTUCKY,50.9,36.1,48.4,29.9,0.428,69.7,73.8,26.2,71.5,18.2,34.5,71.0
LA LAFAYETTE,52.7,35.8,47.9,34.0,0.385,75.8,60.7,39.3,73.9,17.8,34.7,75.4
LA MONROE,46.5,36.0,49.9,35.5,0.243,71.8,55.7,44.3,68.9,17.1,22.7,72.9
LA SALLE,48.8,32.9,48.8,38.1,0.31,78.7,62.7,37.3,72.1,16.2,23.7,75.7
LA TECH,48.2,36.7,48.6,36.4,0.365,72.8,59.4,40.6,70.3,17.5,25.2,73.2
LAFAYETTE,51.4,37.4,52.2,34.4,0.288,77.1,58.6,41.4,70.1,19.0,19.3,74.5
LAMAR,46.8,34.5,51.0,35.2,0.367,67.1,63.3,36.7,72.3,17.6,29.9,73.0
LEHIGH,47.7,40.7,53.0,34.3,0.258,77.4,60.9,39.1,74.5,17.0,21.4,75.4
LG BEACH ST,48.4,35.1,52.4,37.5,0.403,72.9,71.3,28.7,74.4,20.3,30.1,71.5
LIBERTY,51.2,36.9,46.8,37.8,0.35,79.9,57.9,42.1,65.9,18.1,20.7,82.3
LIPSCOMB,53.5,33.0,52.5,33.6,0.412,72.5,61.1,38.9,78.9,19.8,26.5,77.0
LIU-BROOKLYN,52.3,34.8,50.4,32.7,0.385,69.6,61.1,38.9,74.3,19.0,28.2,72.5
LONGWOOD,45.8,31.5,53.2,34.1,0.353,68.1,60.8,39.2,70.3,22.6,21.1,70.2
LOUISVILLE,50.2,37.1,45.2,33.3,0.321,73.7,64.9,35.1,72.2,16.5,27.8,71.0
LOYOLA MYMT,48.2,34.6,57.7,38.1,0.324,71.5,68.0,32.0,69.5,18.8,31.9,70.1
LOYOLA-CHI,56.5,40.0,46.3,32.6,0.332,72.5,64.3,35.7,66.9,18.5,19.9,75.5
LOYOLA-MD,48.1,31.3,54.0,36.8,0.333,65.1,72.5,27.5,71.9,18.5,26.5,75.9
LSU,55.7,35.3,52.7,35.1,0.321,73.2,59.9,40.1,70.6,16.3,28.2,70.4
MAINE,47.1,29.6,51.3,34.4,0.292,69.2,60.9,39.1,73.8,21.3,23.9,71.8
MANHATTAN,46.8,40.0,49.1,34.5,0.376,69.4,64.0,36.0,70.0,22.2,30.0,70.4
MARIST,53.0,34.9,50.8,36.9,0.358,71.4,53.1,46.9,73.7,21.4,20.1,70.7
MARQUETTE,52.1,41.5,53.7,35.9,0.284,79.6,55.4,44.6,72.8,16.6,24.9,74.4
MARSHALL,56.2,35.5,48.5,34.9,0.329,76.6,54.3,45.7,78.5,16.8,20.1,70.5
MARYLAND,53.9,36.8,45.6,33.8,0.379,76.0,64.0,36.0,68.4,19.9,29.1,74.0
MARYLAND BC,48.3,38.2,50.8,35.9,0.301,65.0,55.9,44.1,70.6,16.5,23.2,71.9
MARYLAND ES,44.3,27.5,54.3,36.8,0.297,67.6,61.6,38.4,68.8,18.9,25.2,66.4
MASS LOWELL,52.4,34.4,55.0,37.5,0.392,70.6,63.9,36.1,73.2,18.4,24.6,68.6
MCNEESE ST,47.3,34.6,48.4,35.0,0.327,69.7,66.5,33.5,74.0,18.6,26.8,67.9
MEMPHIS,52.3,31.7,47.7,37.0,0.436,69.0,65.4,34.6,68.8,20.0,33.1,68.1
MERCER,53.0,38.1,51.5,35.9,0.363,76.5,59.5,40.5,66.8,18.5,30.2,76.2
MIAMI (FL),52.2,36.3,48.7,32.6,0.291,66.3,63.5,36.5,70.2,16.1,26.6,74.0
MIAMI (OH),49.7,33.0,51.4,32.8,0.274,68.5,55.8,44.2,71.4,19.0,23.9,75.6
MICHIGAN,54.3,36.3,47.0,34.2,0.303,65.7,56.8,43.2,67.4,13.6,24.8,78.4
MICHIGAN ST,55.5,41.3,38.4,33.3,0.362,75.1,64.2,35.8,70.2,18.8,35.0,76.6
MIDDLE TENN,51.0,36.8,50.2,31.0,0.307,74.5,66.3,33.7,69.5,18.1,29.5,79.4
MINNESOTA,47.1,34.6,47.3,37.5,0.351,70.4,68.0,32.0,72.9,15.1,27.4,73.1
MISS STATE,56.0,30.6,47.3,33.2,0.322,68.3,62.4,37.6,70.6,18.9,30.1,71.8
MISS VAL ST,41.6,30.1,54.6,36.8,0.291,67.5,71.3,28.7,72.6,18.1,27.6,69.1
MISSISSIPPI,48.7,31.9,48.1,37.8,0.338,73.0,60.6,39.4,74.0,15.4,28.2,70.9
MISSOURI,50.8,39.2,45.5,32.3,0.382,74.6,54.5,45.5,69.5,20.2,29.1,74.6
MISSOURI ST,49.4,32.9,46.0,33.5,0.273,72.0,63.6,36.4,67.7,17.1,32.3,76.6
MONMOUTH,49.3,38.9,49.9,35.4,0.441,71.1,66.6,33.4,74.7,20.4,24.9,75.6
MONTANA,51.9,34.1,46.1,35.3,0.389,71.5,72.8,27.2,72.5,17.0,31.7,75.7
MONTANA ST,46.1,33.8,55.9,35.5,0.39,73.5,62.0,38.0,73.5,16.8,27.4,73.4
MOREHEAD ST,48.5,31.8,56.0,36.0,0.367,69.7,61.6,38.4,71.8,21.7,30.0,71.6
MORGAN ST,44.8,32.0,51.9,34.6,0.393,72.5,74.7,25.3,73.7,18.3,32.2,71.7
MT ST MARYS,52.3,37.3,51.6,34.6,0.291,72.7,52.5,47.5,68.7,15.9,19.1,65.9
MURRAY ST,54.5,37.4,47.2,30.8,0.371,72.8,60.3,39.7,69.1,17.0,30.9,74.7
N ARIZONA,44.5,30.5,52.6,39.4,0.426,70.0,66.4,33.6,72.5,21.5,24.7,72.6
N CAROLINA,51.1,36.4,45.0,38.3,0.286,74.1,65.1,34.9,73.5,16.4,36.6,76.5
N COLORADO,53.5,35.1,48.8,32.4,0.332,69.9,60.9,39.1,75.0,16.6,25.3,77.3
N DAKOTA ST,52.5,36.8,47.8,35.3,0.304,75.5,55.8,44.2,69.8,18.1,20.9,76.5
N FLORIDA,51.4,37.5,54.2,35.4,0.276,76.6,55.4,44.6,77.0,18.9,23.1,65.5
